model,run,project,realm,comparison,regression coefficient,,,,,,,
BCC-ESM1,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.915575839,,,,,,,
CNRM-CM6-1,r1i1p1f2,CMIP6,energy,netTOA vs thermal OHC,1.216032793,,,,,,,
CNRM-ESM2-1,r1i1p1f2,CMIP6,energy,netTOA vs thermal OHC,1.214701707,,,,,,,
E3SM-1-0,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.936124716,,,,,,,
E3SM-1-1,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.950104883,,,,,,,
EC-Earth3,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.855973458,,,,,,,
EC-Earth3-Veg,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.840797782,,,,,,,
GFDL-CM4,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.981265023,,,,,,,
GISS-E2-1-G,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.93011091,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.943779926,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.954781861,,,,,,,
IPSL-CM6A-LR,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.90089001,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.932228552,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.955224228,,,,,,,
MPI-ESM1-2-LR,r1i1p1f1,CMIP6,energy,netTOA vs thermal OHC,0.921022811,,,,,,,
UKESM1-0-LL,r1i1p1f2,CMIP6,energy,netTOA vs thermal OHC,0.968134339,,,,,,,
ACCESS1-0,r1i1p1,CMIP5,energy,netTOA vs hfds,0.931978748,,,,,,,
ACCESS1-3,r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
BCC-CSM1-1,r1i1p1,CMIP5,energy,netTOA vs hfds,0.91203045,,,,,,,
BCC-CSM1.1(m),r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
BNU-ESM,r1i1p1,CMIP5,energy,netTOA vs hfds,1.065721615,,,,,,,
CMCC-CESM,r1i1p1,CMIP5,energy,netTOA vs hfds,0.947590534,,,,,,,
CMCC-CM,r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
CMCC-CMS,r1i1p1,CMIP5,energy,netTOA vs hfds,1.024553982,,,,,,,
GFDL-CM3,r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
GFDL-ESM2G,r1i1p1,CMIP5,energy,netTOA vs hfds,0.89957602,,,,,,,
GFDL-ESM2M,r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
IPSL-CM5A-LR,r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
IPSL-CM5A-MR,r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
IPSL-CM5B-LR,r1i1p1,CMIP5,energy,netTOA vs hfds,,,,,,,,
MIROC4h,r1i1p1,CMIP5,energy,netTOA vs hfds,0.983786051,,,,,,,
MIROC-ESM,r1i1p1,CMIP5,energy,netTOA vs hfds,0.39231778,,,,,,,
MIROC-ESM-CHEM,r1i1p1,CMIP5,energy,netTOA vs hfds,0.955254254,,,,,,,
MPI-ESM-LR,r1i1p1,CMIP5,energy,netTOA vs hfds,1.052661598,,,,,,,
MPI-ESM-MR,r1i1p1,CMIP5,energy,netTOA vs hfds,0.91701042,,,,,,,
MPI-ESM-P,r1i1p1,CMIP5,energy,netTOA vs hfds,0.918270902,,,,,,,
NorESM1-M,r1i1p1,CMIP5,energy,netTOA vs hfds,0.995167634,,,,,,,
NorESM1-ME,r1i1p1,CMIP5,energy,netTOA vs hfds,0.947988235,,,,,,,
ACCESS-CM2,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.981716933,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,CMIP6,energy,netTOA vs hfds,1.05071087,,,,,,,
BCC-CSM2-MR,r1i1p1f1,CMIP6,energy,netTOA vs hfds,,,,,,,,
BCC-ESM1,r1i1p1f1,CMIP6,energy,netTOA vs hfds,,,,,,,,
CNRM-CM6-1,r1i1p1f2,CMIP6,energy,netTOA vs hfds,1.235305872,,,,,,,
CNRM-ESM2-1,r1i1p1f2,CMIP6,energy,netTOA vs hfds,1.228671893,,,,,,,
E3SM-1-0,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.961304314,,,,,,,
E3SM-1-1,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.963698859,,,,,,,
EC-Earth3,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.898524987,,,,,,,
EC-Earth3-Veg,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.865075456,,,,,,,
GFDL-CM4,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.980774881,,,,,,,
GISS-E2-1-G,r1i1p1f1,CMIP6,energy,netTOA vs hfds,1.283494601,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,CMIP6,energy,netTOA vs hfds,1.012988128,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.981970252,,,,,,,
IPSL-CM6A-LR,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.941656932,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,CMIP6,energy,netTOA vs hfds,0.944188956,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,CMIP6,energy,netTOA vs hfds,1.006859953,,,,,,,
MPI-ESM1-2-LR,r1i1p1f1,CMIP6,energy,netTOA vs hfds,1.003626054,,,,,,,
UKESM1-0-LL,r1i1p1f2,CMIP6,energy,netTOA vs hfds,0.993736198,,,,,,,
ACCESS1-0,r1i1p1,CMIP5,energy,hfds vs thermal OHC,1.003847197,,,,,,,
ACCESS1-3,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.980195928,,,,,,,
BCC-CSM1-1,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.969454515,,,,,,,
BCC-CSM1.1(m),r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.962689345,,,,,,,
BNU-ESM,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.962136928,,,,,,,
CMCC-CESM,r1i1p1,CMIP5,energy,hfds vs thermal OHC,1.002667985,,,,,,,
CMCC-CM,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.380342932,,,,,,,
CMCC-CMS,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.999707933,,,,,,,
GFDL-CM3,r1i1p1,CMIP5,energy,hfds vs thermal OHC,,,,,,,,
GFDL-ESM2G,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.413984498,,,,,,,
GFDL-ESM2M,r1i1p1,CMIP5,energy,hfds vs thermal OHC,,,,,,,,
IPSL-CM5A-LR,r1i1p1,CMIP5,energy,hfds vs thermal OHC,,,,,,,,
IPSL-CM5A-MR,r1i1p1,CMIP5,energy,hfds vs thermal OHC,,,,,,,,
IPSL-CM5B-LR,r1i1p1,CMIP5,energy,hfds vs thermal OHC,,,,,,,,
MIROC4h,r1i1p1,CMIP5,energy,hfds vs thermal OHC,1.019482622,,,,,,,
MIROC-ESM,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.422506613,,,,,,,
MIROC-ESM-CHEM,r1i1p1,CMIP5,energy,hfds vs thermal OHC,1.012367046,,,,,,,
MPI-ESM-LR,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.882949512,,,,,,,
MPI-ESM-MR,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.990805532,,,,,,,
MPI-ESM-P,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.866180567,,,,,,,
NorESM1-M,r1i1p1,CMIP5,energy,hfds vs thermal OHC,0.969099478,,,,,,,
